perturbation,Reference (Pubmed ID),Annotation_summary,effect_direction,notes,Included in CellOracle lit review?,CO categorization,CO references,CO Annotation_1,CO Annotation_2,CO Annotation_3,source,,,
Sp4,none,no known effect,none,,no,Not reviewed,,,,,eric,,,
Spib,PMID23065153,no known effect,none,,no,Not reviewed,,,,,eric,,,
Spic,none,no known effect,none,,no,Not reviewed,,,,,eric,,,
Srebf2,none,no known effect,none,,no,Not reviewed,,,,,eric,,,
Ssrp1,PMID9566881 PMID35179289,GM & ME,LoF promotes GM lineage,,no,Not reviewed,,NA,NA,NA,eric,,,
Stat1,PMID18060035,ME,GoF promotes differentiation,Rescues Gata1 LoF,yes,"GM & ME, stemness","15213094, 23797472","Stemness, self-renewal",Erythroid differentiation,,eric,,,
Stat3,PMID20581311,GM,LoF inhibits lineage,Necessary for emergency (infection-driven) production of granulocytes.,yes,"GM & ME, stemness","23797472, 20581311",Granulocyte differentiation,"Stemness, self-renewal",,eric,,,
Stat4,PMID15888914 PMID12121663,no known effect,none,"Important in immunity, but effects on myelopoeisis are T cell-dependent (not cell-autonomous).",yes,No known role,15888914,"Involved in immune response, but role is unknown in differentiation.",,,eric,,,
Stat5a,PMID10428030 PMID31690038 PMID15353555,ME,LoF inhibits lineage and GoF promotes lineage,May be redundant with Stat5b,yes,ME,"18239084, 24498540",MEP,Erythroid differentiation,,eric,,,
Sub1,none,no known effect,none,,no,Not reviewed,,NA,NA,NA,eric,,,
Tal1,PMID7830794 PMID8861941 PMID1396592 PMID12540851 PMID12552125,ME,LoF inhibits lineage,"Essential for all hematopoietic lineages, but our analysis is more likely to be detecting its additional megakaryocyte-erythroid-specific role.",no,Not reviewed,,,,,eric,,,
Tbx21,PMID:?26607595,ME,LoF inhibits lineage,Alias is Tbet or T-bet. Megakaryocyte-specific role. We would have missed this paper in our search without the literature review from CellOracle.,no,ME,26607595,Megakaryocyte,,,eric,,,
Tbx4,none,no known effect,none,,no,Not reviewed,,NA,NA,NA,eric,,,
Tbx6,none,no known effect,none,,no,Not reviewed,,,,,eric,,,
Tcf25,none,no known effect,none,,no,Not reviewed,,,,,eric,,,
Tcf3,PMID38303515,ME,LoF inhibits lineage,,no,Not reviewed,,,,,eric,,,
Tcf7,none,no known effect,none,,yes,No known role,,,,,eric,,,
Tcfec,"PMID19379700, PMID15908341",no known effect,none,We disagree with CellOracle review on this effect: these studies do not establish a lineage-specific effect on granulocyte or monocyte differentiation. Compare vector-only vs Tcfef in fig. 4A of PMID19379700.,yes,GM,"19379700, 15908341","Macrophage, granulocyte","Stemness, self-renewal",,eric,,,
Tead2,none,no known effect,none,,no,Not reviewed,,,,,eric,,,
Tead4,PMID34569056,ME,LoF inhibits lineage,,no,Not reviewed,,,,,eric,,,
Thap3,none,no known effect,none,,no,Not reviewed,,NA,NA,NA,eric,,,
Tox,PMID39615865,Stemness,LoF inhibits lineage,,no,Not reviewed,,,,,eric,,,
Tox2,none,no known effect,none,,no,Not reviewed,,NA,NA,NA,eric,,,
Tox3,none,no known effect,none,,no,Not reviewed,,,,,eric,,,
Trp63,none,no known effect,none,,no,Not reviewed,,,,,eric,,,
Tsc22d1,none,no known effect,none,,no,Not reviewed,,,,,eric,,,
Tsc22d3,PMID37575189,no known effect,none,There is an effect on macrophage polarization.,no,Not reviewed,,,,,eric,,,
Tsc22d4,none,no known effect,none,,no,Not reviewed,,,,,eric,,,
Vdr,PMID23213549 PMID29844206 PMID31968250,GM & ME,LoF inhibits lineage,"VDR is not essential, but LoF does affect GMP’s and CMP’s.",no,Not reviewed,,,,,eric,,,
Ybx1,PMID33763698,no known effect,none,"Involved in myeloid leukemia, but dispensable for normal hematopoeisis.",yes,"GM & ME, stemness",21369783,"Stemness, self-renewal, cell cycle",Relatively broad biological functions,Mk differentiation,eric,,,
Zbtb1,none,no known effect,none,Controls lymphoid vs myeloid fate but does not affect downstream lineages in myelopoiesis.,yes,No known role,22201126,Gene role in myeloid differentiation is unknown,Lymphoid development,,eric,,,
Zbtb16,none,no known effect,none,,yes,No known role,,,,,eric,,,
Zbtb20,PMID23776228,no known effect,none,This reference checked macrophage and DC numbers.,no,Not reviewed,,NA,NA,NA,eric,,,
Zbtb32,none,no known effect,none,,no,Not reviewed,,NA,NA,NA,eric,,,
Zbtb4,none,no known effect,none,,yes,No known role,,,,,eric,,,
Zbtb7a,PMID19853566 PMID32115572,ME,LoF inhibits lineage,"Alias is LRF. Essential for erythroid differentiation, and GoF blocks myeloid differentiation. Refines Gata1?s effects later in erythroid differentiation by shutting off some genes.",yes,"GM & ME, stemness","19853566, 32525064",Erythroid differentiation,Differentiation in all lineages,,eric,,,
Zeb2,PMID34PMID27930303 004142,GM & DC,LoF inhibits lineage,,no,Not reviewed,,,,,eric,,,
Zfhx3,none,no known effect,none,,yes,No known role,,,,,eric,,,
Zfp238,none,no known effect,none,Alias is Zbtb18.,yes,No known role,,,,,eric,,,
Zfp30,none,no known effect,none,,no,Not reviewed,,,,,eric,,,
Zfp329,none,no known effect,none,,no,Not reviewed,,,,,eric,,,
Zfp366,PMID33811060 PMID37191947,DC,none,Effect seems to happen in DC?s of both myeloid and non-myeloid origin.,no,Not reviewed,,NA,NA,NA,eric,,,
Zfp385a,PMID11927637,ME,LoF inhibits lineage,Alternate name is Hzf.,no,Not reviewed,,NA,NA,NA,eric,,,
Zfp42,none,no known effect,none,This gene is important in pluripotency but I cannot find a known role in myelopoeisis.,no,Not reviewed,,,,,eric,,,
Zfp422,none,no known effect,none,Human ortholog is ZNF22,no,Not reviewed,,,,,eric,,,
Zfp467,none,no known effect,none,,no,Not reviewed,,,,,eric,,,
Zfp516,none,no known effect,none,,no,Not reviewed,,,,,eric,,,
Zfp521,PMID33532716 PMID39436449,Stemness,LoF inhibits lineage,,no,Not reviewed,,,,,eric,,,
Zfp532,none,no known effect,none,,no,Not reviewed,,,,,eric,,,
Zfp57,none,no known effect,none,,no,Not reviewed,,,,,eric,,,
Zfp579,none,no known effect,none,,no,Not reviewed,,NA,NA,NA,eric,,,
Zfp580,none,no known effect,none,,no,Not reviewed,,NA,NA,NA,eric,,,
Zfp608,none,no known effect,none,,no,Not reviewed,,NA,NA,NA,eric,,,
Zfp637,none,no known effect,none,Human ortholog is ZNF32,no,Not reviewed,,,,,eric,,,
Zfp706,none,no known effect,none,,no,Not reviewed,,,,,eric,,,
Zfp710,none,no known effect,none,,no,Not reviewed,,,,,eric,,,
Zfp711,DOI10.1101/2025.02.23.639715,ME,LoF promotes ME lineage,,no,Not reviewed,,,,,eric,,,
Zfp825,none,no known effect,none,,no,Not reviewed,,,,,eric,,,
Zfp831,none,no known effect,none,,no,Not reviewed,,,,,eric,,,
Zfp941,none,no known effect,none,,no,Not reviewed,,NA,NA,NA,eric,,,
Zfpm1,PMID17207461,ME,LoF promotes ME lineage,,no,Not reviewed,,NA,NA,NA,eric,,,
Zic4,none,no known effect,none,,no,Not reviewed,,,,,eric,,,
Zscan2,none,no known effect,none,,no,Not reviewed,,,,,eric,,,
